 Óbitos infantis - Brasil
Óbitos p/Residênc por Município e Ano do Óbito
Período:1996-2022
"Município";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"Total"
"330225 ITATIAIA";13;13;13;8;17;9;3;12;4;2;4;6;6;5;6;3;12;-;5;1;5;6;4;5;1;4;8;175
"330227 JAPERI";71;60;58;46;39;38;36;31;33;20;33;23;25;23;21;28;31;31;21;27;13;23;17;12;24;20;20;824
"330230 LAJE DO MURIAE";7;2;1;2;3;2;1;3;-;2;2;3;3;4;-;-;2;2;1;-;4;1;-;1;-;1;-;47
"330240 MACAE";46;45;41;34;38;49;30;32;34;49;26;33;45;28;49;39;49;49;48;49;52;47;43;42;32;38;47;1114
"330245 MACUCO";-;2;1;2;5;1;5;1;3;6;2;2;3;2;1;3;1;3;1;3;3;1;3;1;2;-;1;58
"330250 MAGE";130;131;108;96;83;63;61;66;73;68;54;64;56;42;39;57;59;54;61;53;71;49;61;64;47;42;47;1799
"330260 MANGARATIBA";10;12;5;10;10;11;4;7;5;8;6;4;4;-;7;7;5;3;7;9;6;5;8;9;8;5;7;182
"330270 MARICA";19;22;21;22;26;22;33;30;32;26;22;25;23;17;20;19;25;26;17;22;16;26;18;19;17;24;21;610
"330280 MENDES";8;9;5;4;3;10;2;2;2;-;2;3;3;2;1;3;2;2;1;1;3;2;1;-;-;1;2;74
"330285 MESQUITA";-;-;-;-;-;44;48;37;60;37;46;30;31;37;31;37;36;37;23;47;39;32;31;29;22;33;24;791
"330290 MIGUEL PEREIRA";15;12;8;19;9;7;8;11;8;4;2;7;2;6;3;4;3;3;1;8;8;3;3;4;2;6;2;168
"330300 MIRACEMA";12;12;13;17;6;11;7;11;4;8;5;9;8;5;7;8;4;4;2;5;4;4;9;6;-;5;1;187
"330310 NATIVIDADE";7;3;9;4;10;8;5;3;4;2;4;3;5;4;2;3;2;1;4;2;2;2;1;2;1;1;1;95
"330320 NILOPOLIS";88;77;68;67;59;41;64;36;38;39;41;34;36;40;32;23;28;24;30;27;36;40;24;19;25;29;33;1098
"330330 NITEROI";151;136;142;127;125;103;104;97;89;82;76;67;64;92;80;64;63;65;68;63;74;61;61;60;63;49;59;2285
"330340 NOVA FRIBURGO";67;70;60;55;52;52;38;45;36;50;27;31;36;30;29;36;28;31;23;16;36;24;22;24;25;17;13;973
"330350 NOVA IGUACU";591;540;463;507;381;309;253;281;287;271;234;231;177;183;209;229;210;167;183;168;155;187;180;156;153;137;157;6999
"330360 PARACAMBI";23;24;20;15;15;11;7;14;9;10;6;10;7;6;9;6;10;8;6;4;10;8;3;3;3;8;1;256
"330370 PARAIBA DO SUL";28;21;24;21;13;20;10;12;9;12;11;10;9;7;8;3;9;4;5;9;8;12;13;10;7;6;6;307
"330380 PARATY";18;15;14;8;5;8;3;8;4;5;4;8;5;8;10;9;7;6;11;10;3;1;11;11;9;9;6;216
"330385 PATY DO ALFERES";9;12;10;14;5;13;12;10;11;4;14;6;9;2;9;6;5;2;3;3;5;8;3;4;5;8;4;196
"330390 PETROPOLIS";140;120;118;136;119;93;89;65;86;61;63;65;59;71;75;69;55;72;77;60;33;43;47;52;46;50;44;2008
"330395 PINHEIRAL";-;11;6;11;5;5;4;2;5;4;3;2;4;4;2;4;2;5;3;5;5;4;1;5;4;3;2;111
"330400 PIRAI";17;7;12;7;9;7;6;1;5;6;5;4;2;3;5;8;2;3;3;3;5;6;5;6;3;3;4;147
"330410 PORCIUNCULA";12;9;5;10;5;7;8;4;3;4;2;5;3;-;3;3;3;2;3;3;1;4;5;3;1;3;3;114
"330411 PORTO REAL";-;3;6;8;11;6;4;7;2;3;2;-;4;1;2;4;5;3;3;3;1;3;5;3;2;5;-;96
"330412 QUATIS";7;-;7;2;6;8;6;4;2;1;1;3;1;-;2;4;2;4;3;-;1;-;1;3;1;3;3;75
"330414 QUEIMADOS";112;107;106;78;75;65;61;63;50;57;40;46;48;49;35;45;37;45;35;33;42;46;51;37;32;27;27;1449
"330415 QUISSAMA";4;3;5;6;8;4;1;4;5;3;2;9;4;2;4;1;3;3;4;4;3;5;2;3;3;1;3;99
"330420 RESENDE";34;53;41;45;47;36;33;47;32;32;21;18;23;26;21;31;19;22;24;16;25;24;30;25;21;20;26;792
"330430 RIO BONITO";24;26;33;22;16;17;13;15;10;7;9;13;9;10;11;11;8;12;12;6;8;12;8;10;10;5;8;345
"330440 RIO CLARO";6;7;7;7;6;3;4;8;5;5;2;1;4;3;4;2;2;1;3;2;1;2;1;2;2;2;4;96
"330450 RIO DAS FLORES";3;8;3;4;4;1;2;1;5;1;-;2;1;3;2;-;1;1;3;1;-;2;1;-;2;1;1;53
"330452 RIO DAS OSTRAS";7;12;10;9;12;7;10;14;10;11;14;18;19;30;12;15;17;18;30;20;27;19;23;28;18;22;17;449
"330455 RIO DE JANEIRO";2138;2052;1789;1824;1657;1411;1346;1384;1339;1171;1128;1080;1132;1171;1097;1081;1120;1115;1022;1096;1067;948;968;933;885;840;767;33561
"330460 SANTA MARIA MADALENA";7;5;6;3;5;2;6;4;5;2;2;2;3;5;2;6;-;1;2;1;2;2;2;4;1;-;-;80
"330470 SANTO ANTONIO DE PADUA";22;15;16;11;10;13;11;13;8;7;6;8;7;4;8;8;7;11;4;5;9;5;9;6;6;5;5;239
"330475 SAO FRANCISCO DE ITABAPOANA";-;13;16;15;17;14;18;9;4;17;7;8;7;7;7;6;12;5;12;6;10;7;4;12;4;7;10;254
"330480 SAO FIDELIS";11;11;9;10;8;5;9;16;6;6;8;4;9;-;4;5;6;3;7;5;5;8;6;6;5;7;7;186
"330490 SAO GONCALO";361;322;314;279;234;205;202;213;198;181;176;173;164;172;158;154;141;134;166;150;162;144;138;151;122;100;110;5024
"330500 SAO JOAO DA BARRA";30;7;14;19;10;6;9;10;3;9;7;11;11;8;10;6;12;11;9;11;4;9;6;7;6;6;5;256
"330510 SAO JOAO DE MERITI";250;219;202;151;166;174;134;131;156;116;115;122;107;89;94;95;115;96;126;115;81;111;87;88;76;82;83;3381
"330513 SAO JOSE DE UBA";-;1;3;2;1;1;2;1;1;-;3;1;1;-;-;1;1;1;-;1;2;1;4;1;-;6;2;37
"330515 SAO JOSE DO VALE DO RIO PRETO";10;7;6;8;3;1;5;4;7;2;1;1;3;4;6;1;3;4;6;4;1;1;5;3;4;4;4;108
"330520 SAO PEDRO DA ALDEIA";24;16;13;28;32;30;22;26;17;12;13;18;12;15;13;14;11;9;18;21;18;17;19;27;9;11;17;482
"330530 SAO SEBASTIAO DO ALTO";3;5;2;3;5;1;3;1;1;1;1;2;-;1;-;2;-;4;1;-;1;-;-;2;1;1;1;42
"330540 SAPUCAIA";4;7;10;10;2;3;4;9;1;3;4;3;2;3;3;1;4;1;7;5;1;4;2;3;-;4;1;101
"330550 SAQUAREMA";26;23;17;27;29;13;13;11;14;12;16;15;18;12;14;8;18;7;12;24;15;11;22;10;20;9;10;426
"330555 SEROPEDICA";-;16;12;29;18;24;23;13;12;19;14;16;12;11;15;14;7;8;12;15;18;15;21;17;13;13;24;411
"330560 SILVA JARDIM";8;9;6;12;4;9;10;8;5;4;9;3;6;4;8;4;4;5;5;5;2;2;3;3;2;5;7;152
"330570 SUMIDOURO";9;3;8;4;10;7;3;2;3;4;3;2;3;5;2;1;4;2;3;7;4;1;3;3;2;1;5;104
"330575 TANGUA";-;16;7;3;8;3;6;9;6;7;7;2;4;6;2;4;5;6;2;10;6;3;8;8;5;7;3;153
"330580 TERESOPOLIS";60;83;64;65;65;69;35;56;44;38;45;33;31;21;35;31;20;26;32;23;26;29;26;28;20;12;22;1039
"330590 TRAJANO DE MORAES";3;5;3;1;2;5;5;3;1;3;1;-;1;1;1;1;1;2;2;2;-;2;1;1;1;-;-;48
"330600 TRES RIOS";65;38;30;44;39;39;27;32;25;27;17;18;18;15;13;22;17;20;21;20;16;14;15;17;15;10;15;649
"330610 VALENCA";37;37;39;28;32;18;28;27;28;22;14;24;24;10;18;20;9;16;11;12;11;8;14;12;7;8;7;521
"330615 VARRE-SAI";7;6;6;7;9;4;4;6;-;4;2;3;3;7;2;4;2;1;-;2;-;2;4;-;2;-;3;90
"330620 VASSOURAS";22;16;20;16;20;13;17;12;10;6;3;7;3;6;8;5;6;6;5;7;8;5;5;9;6;9;9;259
"330630 VOLTA REDONDA";93;86;81;77;83;62;59;49;47;38;65;30;35;32;38;32;32;44;31;27;35;32;42;38;36;30;35;1289
" MUNICIPIO IGNORADO - SP";-;-;3;1;135;20;18;9;13;1;1;2;8;4;5;6;3;4;3;2;4;2;-;2;1;1;3;251
"350010 ADAMANTINA";10;8;5;2;3;6;11;7;8;6;7;11;8;2;2;5;2;4;3;4;6;4;2;2;1;5;4;138
"350020 ADOLFO";-;3;1;1;2;-;-;-;1;-;-;-;-;-;-;-;1;-;1;1;-;-;1;-;-;1;-;13
"350030 AGUAI";11;14;10;12;6;8;8;9;11;6;6;11;7;9;10;4;6;3;6;4;9;7;3;4;4;5;3;196
"350040 AGUAS DA PRATA";1;3;-;2;-;1;2;1;-;-;-;-;-;2;-;1;-;1;1;-;1;2;2;-;-;-;1;21
"350050 AGUAS DE LINDOIA";3;8;4;7;3;2;4;6;6;1;5;3;4;4;1;4;2;-;2;-;2;2;1;1;1;3;1;80
"350055 AGUAS DE SANTA BARBARA";1;1;-;1;-;2;1;1;1;2;-;1;1;1;-;-;-;2;4;-;2;-;1;-;1;1;-;24
"350060 AGUAS DE SAO PEDRO";-;-;2;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;-;8
"350070 AGUDOS";11;12;10;15;13;11;3;3;6;12;7;2;6;6;12;6;4;10;5;6;10;7;11;7;10;9;3;217
"350075 ALAMBARI";-;2;2;-;1;2;-;1;2;1;-;-;1;-;-;2;-;2;1;1;2;-;3;-;-;-;-;23
"350080 ALFREDO MARCONDES";1;1;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;1;-;2;3;1;1;2;1;1;-;17
"350090 ALTAIR";2;1;2;1;1;-;1;-;1;-;2;1;1;1;-;-;-;-;1;1;1;1;-;-;-;-;1;19
"350100 ALTINOPOLIS";3;6;3;4;2;1;3;2;2;2;1;2;2;1;1;2;-;1;2;2;3;3;3;1;3;2;1;58
"350110 ALTO ALEGRE";-;-;1;-;1;2;-;1;1;-;1;1;1;1;-;-;-;1;-;1;-;-;2;1;1;1;2;19
"350115 ALUMINIO";3;5;6;11;3;5;4;2;6;1;7;2;6;8;1;7;3;6;4;3;3;5;3;5;3;3;2;117
"350120 ALVARES FLORENCE";1;1;-;1;1;1;-;-;2;4;1;-;-;3;1;-;-;-;1;-;-;-;-;-;-;-;-;17
"350130 ALVARES MACHADO";9;4;8;6;12;7;4;9;4;2;2;4;6;7;2;1;1;-;4;-;5;6;1;1;3;1;4;113
"350140 ALVARO DE CARVALHO";3;2;1;1;-;2;-;1;-;1;-;2;1;-;-;2;-;2;-;1;-;-;-;-;-;-;-;19
"350150 ALVINLANDIA";1;-;2;-;-;2;-;2;1;-;-;2;1;-;-;1;2;-;1;-;-;-;1;1;-;2;-;19
"350160 AMERICANA";33;49;40;32;31;26;27;35;28;22;17;25;25;20;30;30;24;24;40;31;18;20;30;24;16;25;23;745
"350170 AMERICO BRASILIENSE";9;9;7;7;7;4;5;4;14;3;6;8;9;11;5;5;1;6;9;5;3;8;6;10;4;6;5;176
"350180 AMERICO DE CAMPOS";2;1;3;2;1;2;-;-;1;1;1;-;1;1;1;-;-;1;-;-;-;-;2;1;-;-;-;21
"350190 AMPARO";18;34;22;20;12;13;12;14;14;7;4;11;6;10;10;8;7;6;5;5;4;5;5;6;7;4;7;276
"350200 ANALANDIA";1;1;-;-;-;1;1;1;-;-;2;-;-;1;2;-;1;-;1;2;1;1;1;1;-;-;1;19
"350210 ANDRADINA";13;15;14;15;13;14;11;11;14;8;9;6;14;5;4;6;5;4;7;6;10;9;8;6;4;8;5;244
"350220 ANGATUBA";7;11;3;10;9;10;7;5;4;5;3;7;3;6;4;3;1;1;8;3;3;2;5;6;5;4;3;138
"350230 ANHEMBI";1;1;-;1;1;-;1;1;-;1;1;-;-;-;-;-;-;1;-;1;-;-;-;1;-;1;2;14
"350240 ANHUMAS";2;1;-;-;2;1;-;-;1;-;-;1;1;-;1;-;-;-;1;-;2;-;1;-;-;2;1;17
"350250 APARECIDA";13;17;10;16;10;11;4;3;11;7;7;7;3;6;6;7;8;18;5;7;7;3;2;4;5;3;4;204
"350260 APARECIDA D'OESTE";-;-;-;2;1;1;-;-;-;-;2;-;3;1;1;-;-;1;-;-;-;-;-;-;1;1;-;14
"350270 APIAI";17;24;22;23;15;9;7;9;6;7;4;5;10;6;4;11;4;4;2;1;12;6;4;2;1;7;-;222
"350275 ARACARIGUAMA";4;6;10;3;3;6;6;3;3;5;2;6;2;6;6;6;3;5;6;5;4;4;5;5;5;2;5;126
"350280 ARACATUBA";37;39;49;32;40;20;40;32;32;33;33;37;34;31;25;35;25;17;19;30;29;27;39;28;26;23;28;840
"350290 ARACOIABA DA SERRA";5;8;4;9;6;10;6;3;2;7;3;5;7;2;4;12;5;1;8;5;4;3;3;7;1;2;-;132
"350300 ARAMINA";1;-;-;-;1;1;1;1;-;2;2;-;1;1;-;2;-;-;1;1;-;-;1;1;-;-;2;19
"350310 ARANDU";3;2;4;1;4;3;3;1;-;3;4;-;-;2;3;1;1;-;3;1;-;3;1;2;-;1;2;48
"350315 ARAPEI";-;-;1;2;3;-;1;1;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;-;-;-;11
"350320 ARARAQUARA";38;38;55;36;38;28;26;22;22;16;27;26;35;27;29;30;29;37;30;34;24;29;34;17;23;19;16;785
"350330 ARARAS";30;41;28;37;23;25;7;10;14;17;18;15;18;13;12;24;14;7;14;15;18;18;20;17;12;15;14;496
"350335 ARCO-IRIS";-;1;1;2;1;1;-;1;-;-;2;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;11
"350340 AREALVA";-;2;-;2;-;1;1;-;4;-;-;1;-;1;2;2;-;-;-;4;2;-;1;-;2;1;2;28
"350350 AREIAS";1;-;2;-;2;2;1;-;2;3;2;2;1;2;-;1;-;-;-;-;1;1;-;-;-;-;-;23
"350360 AREIOPOLIS";4;3;4;2;4;2;2;2;-;2;2;3;3;-;2;4;1;2;1;4;-;3;3;1;1;1;2;58
"350370 ARIRANHA";2;-;-;5;-;1;2;2;-;1;4;2;-;1;-;1;-;2;1;4;2;-;-;-;1;1;-;32
"350380 ARTUR NOGUEIRA";7;14;18;7;11;10;11;2;9;5;7;4;10;6;4;4;4;6;4;11;2;5;5;6;6;1;2;181
"350390 ARUJA";49;42;42;39;32;23;20;24;20;20;16;16;17;17;13;13;18;19;17;10;21;23;19;12;22;13;8;585
"350395 ASPASIA";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350400 ASSIS";26;19;28;19;18;15;9;15;13;16;14;14;11;15;15;9;15;11;14;12;9;10;19;7;11;8;12;384
"350410 ATIBAIA";55;44;46;39;41;26;38;42;34;29;26;26;29;21;35;24;18;13;29;33;18;23;10;23;13;19;16;770
"350420 AURIFLAMA";4;5;4;3;7;1;2;5;2;7;-;2;1;-;2;1;-;-;2;2;-;1;1;-;-;2;2;56
"350430 AVAI";1;3;2;1;2;1;2;1;3;1;-;-;-;-;3;-;-;-;1;-;-;-;-;1;-;-;3;25
"350440 AVANHANDAVA";4;4;7;4;2;7;1;-;3;4;3;3;1;2;1;2;2;1;4;3;-;1;3;3;1;2;1;69
"350450 AVARE";31;39;37;31;22;32;17;17;20;13;25;17;18;11;25;14;9;14;24;15;15;15;15;13;13;13;19;534
"350460 BADY BASSITT";2;4;2;-;-;3;1;4;2;1;3;1;1;1;-;1;1;3;-;-;1;-;1;1;3;6;3;45
"350470 BALBINOS";-;1;-;1;1;-;-;-;1;-;-;-;2;1;-;1;-;1;-;-;-;-;-;1;-;-;-;10
"350480 BALSAMO";1;-;-;1;1;3;1;1;2;2;1;-;-;1;-;2;1;1;-;1;-;1;-;-;1;2;-;23
"350490 BANANAL";1;2;4;3;4;5;5;2;2;2;1;1;-;1;2;2;1;1;-;-;2;2;-;1;-;1;-;45
"350500 BARAO DE ANTONINA";-;2;-;1;1;1;-;2;-;-;1;-;2;1;-;1;-;2;1;1;1;1;-;1;1;1;-;21
"350510 BARBOSA";-;3;2;2;-;2;2;-;-;2;3;1;2;-;2;1;-;-;1;1;1;-;1;-;1;2;2;31
"350520 BARIRI";8;8;7;5;6;6;4;4;6;7;9;7;11;5;3;10;10;6;7;4;4;4;6;7;2;6;4;166
"350530 BARRA BONITA";11;9;11;15;15;6;6;5;4;5;9;10;7;7;8;3;8;3;3;5;2;4;5;3;3;4;5;176
"350535 BARRA DO CHAPEU";2;2;1;2;2;2;-;5;2;2;2;3;1;1;2;-;1;-;2;2;-;-;-;1;-;1;1;37
"350540 BARRA DO TURVO";7;4;4;2;5;4;3;4;4;1;3;6;2;4;3;-;-;2;2;1;-;-;3;2;-;3;1;70
"350550 BARRETOS";61;63;40;39;34;33;22;22;19;11;22;10;13;23;10;10;21;18;15;15;20;23;20;19;21;7;18;629
"350560 BARRINHA";12;10;7;10;3;11;4;10;3;3;11;7;4;6;12;4;4;6;5;9;8;4;7;8;5;4;3;180
"350570 BARUERI";117;99;86;122;92;74;52;43;57;49;66;57;50;46;47;47;61;47;53;77;49;48;49;51;41;34;39;1653
"350580 BASTOS";6;5;4;5;4;6;5;7;4;5;4;4;3;8;2;6;1;1;1;4;3;3;5;5;2;5;2;110
"350590 BATATAIS";10;15;11;14;19;9;13;6;7;13;7;7;8;11;8;9;15;6;11;8;7;11;7;8;6;12;10;268
"350600 BAURU";117;92;86;93;84;70;75;56;47;61;55;52;58;50;41;52;56;69;61;57;50;61;44;61;53;44;43;1688
"350610 BEBEDOURO";27;28;18;26;12;11;12;15;10;10;13;7;9;4;3;9;11;8;12;12;9;10;17;3;7;8;9;320
"350620 BENTO DE ABREU";-;-;2;1;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;7
"350630 BERNARDINO DE CAMPOS";6;8;7;3;2;4;-;1;2;1;2;1;3;-;1;2;-;1;2;2;1;3;1;1;1;-;-;55
"350635 BERTIOGA";19;26;18;11;10;11;19;21;21;16;11;21;15;9;8;14;14;18;8;10;14;17;14;12;15;12;16;400
"350640 BILAC";1;-;-;4;3;-;1;1;-;-;1;-;-;-;-;2;1;1;2;-;-;2;-;1;-;-;3;23
"350650 BIRIGUI";25;28;12;28;20;24;17;12;20;28;20;13;18;14;17;14;6;17;18;18;25;22;22;18;13;11;16;496
"350660 BIRITIBA-MIRIM";22;14;8;10;16;13;6;12;8;3;6;8;2;5;8;5;10;7;4;10;1;6;4;4;7;1;1;201
"350670 BOA ESPERANCA DO SUL";7;7;6;4;3;4;3;1;4;1;3;4;2;6;5;3;4;3;1;5;1;3;2;3;-;-;2;87
"350680 BOCAINA";1;2;1;2;1;2;3;3;2;-;1;3;1;-;1;-;-;1;1;-;5;4;4;1;1;3;3;46
"350690 BOFETE";3;2;4;3;1;3;3;2;3;4;2;2;-;3;3;-;4;-;3;-;1;-;3;3;-;3;1;56
"350700 BOITUVA";12;17;17;12;9;16;12;7;12;7;4;7;6;12;8;11;11;7;12;7;12;9;7;12;5;9;11;271
"350710 BOM JESUS DOS PERDOES";4;9;6;8;7;5;6;7;7;3;3;2;5;4;6;1;5;1;3;5;4;4;1;4;9;2;3;124
"350715 BOM SUCESSO DE ITARARE";1;1;2;1;1;1;1;4;2;1;7;2;1;2;4;1;1;2;2;-;1;-;1;1;1;-;-;41
"350720 BORA";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350730 BORACEIA";1;-;-;2;-;-;-;2;-;2;-;1;1;-;2;-;3;-;-;3;1;-;3;3;-;2;-;26
"350740 BORBOREMA";-;3;4;1;4;3;1;-;2;3;1;2;2;4;-;1;2;1;2;-;2;-;3;1;1;-;4;47
"350745 BOREBI";1;-;1;-;-;-;1;-;-;-;1;1;2;-;-;-;-;-;-;-;-;-;-;-;1;1;-;9
"350750 BOTUCATU";34;31;28;20;26;22;26;15;25;13;18;22;24;18;18;15;16;17;9;26;21;24;27;23;18;17;15;568
"350760 BRAGANCA PAULISTA";50;63;63;72;43;45;46;46;30;31;34;30;27;33;30;22;19;10;27;29;18;19;15;21;18;20;27;888
"350770 BRAUNA";-;-;-;1;-;1;-;2;1;2;3;-;1;-;2;1;1;-;-;-;1;-;-;-;1;1;-;18
"350775 BREJO ALEGRE";-;2;-;1;2;1;-;2;-;-;-;1;-;-;-;2;1;-;-;2;-;1;-;-;-;-;1;16
"350780 BRODOWSKI";7;5;5;3;4;3;-;4;5;8;6;4;3;4;5;2;3;2;1;5;5;3;10;4;5;2;2;110
"350790 BROTAS";5;5;1;7;11;8;3;4;6;4;7;4;4;-;7;7;5;4;5;8;2;2;3;4;2;6;2;126
"350800 BURI";25;9;15;13;14;9;10;4;9;12;7;12;6;7;6;4;4;6;6;6;2;4;3;12;2;6;3;216
"350810 BURITAMA";5;7;2;3;-;3;3;3;1;3;2;5;3;3;4;3;4;1;1;2;2;1;4;2;2;2;-;71
"350820 BURITIZAL";-;1;2;-;1;-;1;1;-;-;-;3;1;1;1;-;-;-;-;3;-;-;-;-;-;1;1;17
"350830 CABRALIA PAULISTA";3;3;1;3;3;-;1;2;1;-;-;3;-;-;1;2;3;-;2;2;-;-;2;-;-;2;-;34
"350840 CABREUVA";17;21;12;11;8;16;10;10;9;7;6;8;9;10;9;11;6;11;11;12;9;13;8;14;5;11;14;288
"350850 CACAPAVA";22;30;23;19;26;21;22;26;20;18;14;24;22;16;21;14;16;14;13;11;10;12;11;18;6;9;8;466
"350860 CACHOEIRA PAULISTA";10;3;12;12;12;10;11;11;8;2;4;9;7;6;2;4;2;4;2;5;5;7;5;7;9;4;9;182
"350870 CACONDE";12;7;7;6;3;6;5;5;3;6;4;5;2;3;2;2;3;1;1;1;-;3;2;2;2;3;1;97
"350880 CAFELANDIA";8;6;10;7;7;7;4;5;1;2;4;1;5;1;-;7;2;4;1;-;2;-;4;2;4;3;5;102
"350890 CAIABU";1;-;-;1;1;-;2;1;1;1;-;-;2;-;-;-;-;-;1;-;-;-;1;-;1;3;1;17
"350900 CAIEIRAS";17;26;22;18;21;20;22;11;21;16;15;15;18;16;20;13;10;19;19;19;11;11;9;7;5;10;21;432
"350910 CAIUA";1;1;1;-;2;1;1;-;-;-;-;-;-;1;-;-;1;-;2;-;-;-;1;-;-;1;-;13
"350920 CAJAMAR";31;23;27;25;19;18;25;22;16;18;19;11;10;12;12;13;14;13;15;16;8;18;7;13;14;10;19;448
"350925 CAJATI";18;19;14;12;15;15;15;12;10;7;4;9;4;1;4;4;3;11;7;11;6;5;2;4;4;3;4;223
"350930 CAJOBI";-;5;1;2;-;2;2;1;1;1;4;2;3;-;3;-;4;-;1;1;2;1;-;2;1;-;-;39
"350940 CAJURU";5;7;7;6;5;3;8;3;6;5;3;5;-;5;5;2;4;4;3;4;7;4;3;2;5;3;6;120
"350945 CAMPINA DO MONTE ALEGRE";3;4;1;1;1;-;1;1;2;1;1;2;1;2;1;-;4;2;-;2;-;-;3;-;-;2;1;36
"350950 CAMPINAS";274;268;221;231;229;180;175;172;159;173;145;145;123;166;155;135;151;146;130;130;137;137;137;110;109;119;128;4385
"350960 CAMPO LIMPO PAULISTA";28;26;17;23;15;19;20;16;14;16;10;9;15;17;14;12;14;6;20;14;11;12;5;12;8;16;5;394
"350970 CAMPOS DO JORDAO";34;40;31;28;25;23;22;19;20;17;23;15;19;17;15;14;11;10;12;12;9;6;6;13;4;3;7;455
"350980 CAMPOS NOVOS PAULISTA";1;1;-;7;-;2;1;2;1;-;-;1;-;1;-;1;2;-;-;2;-;2;-;2;2;-;1;29
"350990 CANANEIA";7;10;4;5;3;5;2;5;2;1;1;4;1;2;3;1;-;1;3;3;4;2;1;1;5;3;5;84
"350995 CANAS";-;-;3;-;3;-;2;3;1;2;1;-;1;1;1;1;-;4;1;2;-;4;-;1;2;1;1;35
"351000 CANDIDO MOTA";11;7;6;4;4;7;4;9;3;8;5;4;5;9;-;3;6;5;3;2;9;5;5;5;4;3;1;137
"351010 CANDIDO RODRIGUES";2;1;-;-;-;-;-;1;1;-;2;-;1;-;1;-;1;-;-;1;-;-;-;-;1;-;-;12
"351015 CANITAR";1;2;2;3;1;4;2;-;1;1;-;-;1;-;2;-;1;2;-;-;-;2;-;1;-;2;1;29
"351020 CAPAO BONITO";44;48;28;26;20;27;17;18;13;16;14;12;12;6;11;14;10;8;11;4;9;6;8;4;4;3;6;399
"351030 CAPELA DO ALTO";6;6;5;3;2;8;3;12;3;3;6;4;3;2;2;3;5;4;1;6;1;4;5;2;4;5;5;113
"351040 CAPIVARI";24;20;14;15;21;12;12;10;10;10;10;11;3;8;7;15;15;7;4;6;6;11;5;2;3;6;12;279
"351050 CARAGUATATUBA";68;45;42;34;29;33;27;26;30;28;24;26;19;22;28;18;17;15;18;17;19;23;18;18;20;25;18;707
"351060 CARAPICUIBA";144;168;165;130;105;103;93;99;94;90;86;77;72;69;69;61;63;81;81;97;72;75;65;86;56;52;98;2451
"351070 CARDOSO";4;2;4;5;2;2;1;1;3;2;-;2;2;-;2;-;3;-;-;-;2;-;3;4;1;1;-;46
"351080 CASA BRANCA";17;16;7;9;9;8;8;10;7;7;8;4;8;6;5;5;2;4;6;4;5;2;4;4;2;2;4;173
"351090 CASSIA DOS COQUEIROS";1;-;3;1;-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;-;-;-;-;1;-;-;-;9
"351100 CASTILHO";5;8;3;7;6;3;2;3;7;8;1;3;4;5;8;1;4;5;5;-;4;6;6;4;1;3;1;113
"351110 CATANDUVA";23;34;20;20;12;19;10;20;26;14;15;17;13;14;14;10;19;23;20;11;9;11;10;14;12;14;10;434
"351120 CATIGUA";1;2;3;-;1;1;1;-;-;-;1;-;1;1;-;-;-;-;4;2;-;1;-;2;-;-;2;23
"351130 CEDRAL";2;-;1;2;1;-;1;1;-;3;1;2;1;2;1;3;2;-;1;1;-;2;-;-;1;1;1;30
"351140 CERQUEIRA CESAR";4;8;4;5;5;2;5;6;3;2;4;2;2;1;5;4;1;4;4;2;2;1;4;2;1;3;6;92
"351150 CERQUILHO";7;9;11;5;5;11;3;6;4;9;6;8;3;9;6;3;2;5;6;7;2;3;5;6;8;-;-;149
"351160 CESARIO LANGE";5;5;2;4;2;3;1;2;2;2;5;5;3;-;3;1;5;-;2;6;2;6;3;6;2;3;5;85
"351170 CHARQUEADA";8;4;7;6;10;6;5;4;2;3;5;8;2;3;7;4;-;5;2;4;1;4;1;1;4;1;2;109
"351190 CLEMENTINA";-;2;1;3;1;1;2;2;-;1;1;-;3;-;1;-;1;3;2;1;-;-;3;-;1;1;1;31
"351200 COLINA";6;5;4;9;6;6;3;2;2;4;5;3;3;2;2;3;3;2;4;3;1;2;2;3;1;-;2;88
"351210 COLOMBIA";3;5;3;3;3;-;-;-;2;3;-;4;-;-;1;-;2;1;-;1;2;1;1;-;-;1;2;38
"351220 CONCHAL";17;13;10;13;7;6;9;13;7;7;8;6;7;6;4;5;2;1;6;7;5;5;5;4;7;3;8;191
"351230 CONCHAS";2;8;2;4;2;4;3;3;5;1;6;3;1;5;2;1;1;2;4;3;1;2;2;4;2;3;2;78
